브랜드코드,브랜드명,점포번호,점포명,사업자번호,MENU_CD,MENU_FULL_NM,MENU_NM,판매가격
gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000018,모듬튀김,모듬튀김,"6,000"
gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000019,치즈볼4개,치즈볼4개,"4,000"
gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000020,셀프주먹밥,셀프주먹밥,"3,000"
gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000021,핫도그2개,핫도그2개,"3,000"
gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000022,김말이3개,김말이3개,"2,000"
gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000023,야끼만두튀김4개,만두튀김4개,"2,000"
gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000024,치즈스틱4개,치즈스틱4개,"3,000"
gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000025,어묵튀김6개,어묵튀김6개,"2,000"
gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000026,게다리튀김4개,게다리튀김4개,"4,000"
gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000027,오징어튀김3개,오징어튀김3개,"3,000"
gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000028,고구마튀김3개,고구마튀김3개,"2,000"
gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000029,단무지추가,단무지추가,500
gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000030,순살치킨,순살치킨,"8,000"
gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000031,쿨피스(450ml),쿨피스(450ml),"1,000"
gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000032,콜라500ml,콜라500ml,"1,500"
gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000033,콜라1.25L,콜라1.25L,"2,500"
gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000034,사이다500ml,사이다500ml,"1,500"
gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000035,사이다1.25L,사이다1.25L,"2,500"
gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000036,1단계,1단계,0
gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000037,2단계,2단계,0
gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000038,3단계,3단계,0
gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000039,밀떡변경,밀떡변경,0
gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000040,분모자변경,분모자변경,"2,000"
gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000041,파마산,파마산,500
gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000042,콩가루,콩가루,500
gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000043,계란1개,계란1개,500
gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000044,비엔나5개,비엔나5개,"1,000"
gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000045,가래떡1개,가래떡1개,"1,000"
gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000046,어묵사리,어묵사리,"1,000"
gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000047,치즈사리,치즈사리,"2,000"
gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000048,분모자,분모자,"1,500"
gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000049,테스트상품1,테스트상품1,"1,000"
gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000050,오픈행사(남포동과순살치킨),오픈행사(남포동과순살치킨),"8,000"
gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000051,닭갈비가래떡볶이,닭갈비가래떡볶이,"9,900"
gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000053,카스(병),카스(병),"4,000"
gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000054,테라(병),테라(병),"4,000"
gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000055,카프리(병),카프리(병),"4,000"
gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000056,소주(처음처럼),소주(처음처럼),"4,000"
gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000057,소주(참이슬 순한),소주(참이슬 순한),"4,000"
gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000058,소주(진로이즈백),소주(진로이즈백),"4,000"
gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000059,(포장할인)남순모SET,(포장할인)남순모SET,"14,900"
gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000060,(포장할인) 남포동과순살치킨,(포장할인) 남포동과순살치킨,"12,900"
gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000061,(포장할인)할가떡튀김SET,(포장할인)할가떡튀김SET,"15,900"
gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000062,(포장할인)어떡할가SET,(포장할인)어떡할가SET,"14,900"
gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000063,(포장할인)남김모SET,(포장할인)남김모SET,"14,900"
